Block Height,Block ID,Tx Fee,Block Reward,Miner Claimed,Unclaimed
124724,0000000000004c78956f8643262f3622acf22486b120421f893c0553702ba7b5,1000000,5000000000,4999999999,1000001
162705,000000000000007dac86ae0400f08bbcac5e9e2b44bfcebb95ebda52d07f7df6,1700000,5000000000,5000000000,1700000
162823,000000000000075ce734485c69ce85f7c22ea6da58ead9c1e7252aa01ca47b61,100000,5000000000,5000000000,100000
162839,00000000000000d6c5bbfe471fe681c6ce2ed29357be0cae23b24d79cf547c79,1024800,5000000000,5000000000,1024800
162952,00000000000008482f0be4a54176ef15e75983685fecd28c629aeb5492e39ce4,8464733,5000000000,5000000000,8464733
162973,0000000000000a17f5df5cdb8a9b48bc8f6173df5ad367ed5d1759a5f853d906,10505939,5000000000,5000000000,10505939
162980,0000000000000ccfc63fb80cd69e0b6a7dc71d44bb3b0f018df5e7ccfe344eec,1179594,5000000000,5000000000,1179594
162988,0000000000000696aa81378db0ddc6d6120c7d30bef82ea1139bea463bd7053e,664387,5000000000,5000000000,664387
162992,0000000000000b3a6431e0c340ea38bdeb948e1862521474ab6bfcc1d4c6d46a,4950000,5000000000,5000000000,4950000
162995,0000000000000672b1a773a106eafbf427dcbeef142a11da4c263a7c7e5896c5,450000,5000000000,5000000000,450000
163006,0000000000000ae559ed3733edba32ef635569a2dd17d7f765677465276552e4,3351000,5000000000,5000000000,3351000
163017,0000000000000453c548d1dd882a6b89c230552c2d1f644136e5e1db9ccc35cd,9950000,5000000000,5000000000,9950000
163029,00000000000005212939e69cf0a1cff3d4e86164a7299f843aaccf4979ee2add,50000,5000000000,5000000000,50000
163063,0000000000000c97cf04e9b80a36c77cba2b4ee35c3cc19ac9e1838f57ef3928,1351000,5000000000,5000000000,1351000
163072,000000000000095bff08e15b78dc19aa43124486d2494f6b42ba6a75de5cc90a,450000,5000000000,5000000000,450000
163075,000000000000078f642dbbb2a5a5e8b7b9c219276a5d3b7acd8c075aa70604b5,510000,5000000000,5000000000,510000
163088,000000000000043c83db974ed77aeafaa751cfd0054c3ad33718f6f073d206c1,1000000,5000000000,5000000000,1000000
163102,0000000000000bdc833fef61188a4a849f852dd8d78628f1bb86c15fb7047d2a,2500065,5000000000,5000000000,2500065
163105,000000000000079bc45988b2ccaaa150b30eb370e714f5dd8933df9cda9188bf,100000,5000000000,5000000000,100000
163109,00000000000004cfb4450b7ab1a1ee14f27ca9df2470fef32036d040efa58001,2000000,5000000000,5000000000,2000000
163113,0000000000000ba7e6d612e6d4704bf143bc45b4b951eb37132a930edab781b8,1500000,5000000000,5000000000,1500000
163120,000000000000007dc4ef8531b5a34303abacedd17b49071d6e7b44f2607e11b2,18155528,5000000000,5000000000,18155528
163228,00000000000005bd58af5a01fdcae0743b33cdd1cf08d87ae61cd903170edde2,4890745,5000000000,5000000000,4890745
163240,00000000000001df1c7c8b24116112ed157f62a8090654f56570f30a0f91ad51,18156811,5000000000,5000000000,18156811
163274,000000000000007c79a2d965063becc94ae634af329e0e2fb8e37acd04102ace,1251000,5000000000,5000000000,1251000
163283,0000000000000bdac5d566c3a9bc3a514670632f76a8e449302550604725c271,250000,5000000000,5000000000,250000
163284,0000000000000bd0317d1013e6f0883eb479f0976d81d4990473ed9de3e1274f,4350000,5000000000,5000000000,4350000
163285,000000000000087bdf160cf611bb999722cd2d65c39d3945e414c3bd9fae85da,2250000,5000000000,5000000000,2250000
163353,00000000000004a85dbeb47be83d2d9875150392e07161c8dfd66810f8ee71a0,1100000,5000000000,5000000000,1100000
163368,0000000000000048567353a28610ba10375850ca291014e2fda18ef216dc2033,8300501,5000000000,5000000000,8300501
163370,00000000000000cdd136dc7c59b178a18c6640e33c9146f3f9e64452c9f5031c,4289790,5000000000,5000000000,4289790
163433,0000000000000ac720f9373d1dcd00ad353c79ff49908a930b42681bbd92e1cd,150000,5000000000,5000000000,150000
163440,000000000000033230d4a60a729f80e3841d37d6c3bc220fce195f24a49346e8,5750000,5000000000,5000000000,5750000
163447,000000000000000453987404436d22cb8692aea0de5a77ff9d491921103c9a03,1500000,5000000000,5000000000,1500000
163453,00000000000007cbbd79d3f4bdc24a904d5aac1c6cfcfd97de54e5775e5b7256,350000,5000000000,5000000000,350000
163458,000000000000060941628a7934a009d569b77e928d2dceb13e27ff80153d300c,3340477,5000000000,5000000000,3340477
163478,000000000000020342a50cf6b71d6505d85fbaa95247f96fd5628da3730ebe94,650000,5000000000,5000000000,650000
163480,0000000000000b6e89bb00a92d1f75b327f1573f0625892f47ed4c1dd22b9537,5100000,5000000000,5000000000,5100000
163588,000000000000057fde1b3f18d81847421f56687e297e13d003384c86d893b4d0,5310000,5000000000,5000000000,5310000
163592,000000000000061aac2771e76cb26fdb626cbf9e8a4848e84926fe7762e3c549,1350000,5000000000,5000000000,1350000
163596,000000000000063cfda06159d936829dd4cdb7475dada991c897e65b6888b731,1850000,5000000000,5000000000,1850000
163611,0000000000000c78ee2b7894f047ab9780d8c13c888fa649beb6f73d8c3c83cb,1800000,5000000000,5000000000,1800000
163615,000000000000079d6382e14a5ff58c69bde6db70414cbda6ac5c5b67d97127c3,5211463,5000000000,5000000000,5211463
163620,00000000000005a88fff18e6cfda0468b7d65d3837afcf62810546bcada8be60,15370000,5000000000,5000000000,15370000
163622,0000000000000add9163d51074ccf0f38cb90923a70f421afdfcc842a0057de2,300000,5000000000,5000000000,300000
163623,00000000000009fd57fdd88016394195787c0c958ddd88d2d6d13d5f25e5209c,2100000,5000000000,5000000000,2100000
163626,00000000000002c39f4145eecc318763891ec2091671c6c1fd5048fe8c6545dc,430000,5000000000,5000000000,430000
163628,000000000000040c82d4dac16ed50a444ea942ceef472e9d2b8eb41590066be6,2508784,5000000000,5000000000,2508784
163633,0000000000000708e20cc595a173314c13ac95443f14ce0d20a84c8fb1064142,17850000,5000000000,5000000000,17850000
163647,00000000000003d9186ed454e429f22bf69c88c8b13702a4b8a63306ef0d847e,11250000,5000000000,5000000000,11250000
163656,000000000000086536ce3e9420c9d1aa9f27926437c97c408daed454b8913cfd,5162317,5000000000,5000000000,5162317
163667,0000000000000b41ec230eb4677efafa4fe4b4c93bbd1fa6de0eb4b495bddd5b,500000,5000000000,5000000000,500000
163672,00000000000006949f91621154934a66a43287bd4b47605960ae7458b1278a05,5150000,5000000000,5000000000,5150000
163693,000000000000024f0b599818505c5a663945d796f16632a2e79f85abef66b1aa,400000,5000000000,5000000000,400000
163709,0000000000000bd24d04f71edc5227467d83d48824867e3abb8ec47fa70062d5,15873449,5000000000,5000000000,15873449
163710,00000000000004082155d3472f84dff33288ff0f43aae08106e83a8827276e98,13170451,5000000000,5000000000,13170451
163714,000000000000083a8d63de6a5fb42258d1a7f002fa418d468bac4f8276994c49,500000,5000000000,5000000000,500000
163719,0000000000000046b1eca60407ed4ae978a8212ea3512f5af7025be551674582,4952000,5000000000,5000000000,4952000
163726,00000000000003d9a6fcfa251807203021e68e40d50873886682dca18bc4a87c,2150000,5000000000,5000000000,2150000
163729,0000000000000a2c0f7374dfc2dc011eecfc00500c7a5db1089a97cba6504734,1200000,5000000000,5000000000,1200000
163756,000000000000087ab008b9bdb327bdb6b86610e4a4dd3dac8334046a26e04dcc,1905454,5000000000,5000000000,1905454
163791,0000000000000c20ef447e9c0fa37b358c33b300d1ce3e5aea0b5874f1aa5d94,1500000,5000000000,5000000000,1500000
163793,0000000000000c6e32e94d5bbda10310bc028ab90ab19147153539d2810a848c,400000,5000000000,5000000000,400000
163808,000000000000050a582dcdcbcad1817ab90e721e34f8e45c1fd1b57359be394b,2150000,5000000000,5000000000,2150000
163830,00000000000002b87f51a4e2476582ad8d764c3a731e3e0831998fe4a5be8c5e,12305008,5000000000,5000000000,12305008
163863,0000000000000aa3c294f671bf327c6f2ec761e4648e409f8bf87f0c042a9b66,300000,5000000000,5000000000,300000
163881,00000000000003e8d98dfae004edad42dce00e72ee04d94d8d4a6d5b6df69d72,1060000,5000000000,5000000000,1060000
163889,0000000000000acb2a85e25e59871cea5818ff417c009fec8337a02be1cae53f,2200000,5000000000,5000000000,2200000
163891,0000000000000890b6df46b4111f63b82d680f04a5b0f323df8e134c0f94b79d,350000,5000000000,5000000000,350000
163893,00000000000000e69c3439e69ea7497416a80cfb7e4ee3fba454809bc96107ad,50000,5000000000,5000000000,50000
163903,0000000000000cc1af604f96945e8fc4e6010f070b42e63ebf1307790f1feafc,401000,5000000000,5000000000,401000
163915,0000000000000c1b294b863163d766cc57eb53d1ef606318da94773443d361a3,2250000,5000000000,5000000000,2250000
163918,00000000000008462170262d73fac1f6113d49a1fdec407d358c0a09b0f849ce,4900000,5000000000,5000000000,4900000
