Block Height,Block Time,Input,Text
774883,2023-02-03 23:16:56 +08:00,893a6a5f2621665bf5c942fd2ed7f38b5addd7bfde449d95b9ab8368ee90e55e:0,"中本第一聰
"
774971,2023-02-04 15:48:43 +08:00,a2fd5ed639ab3c39f00aeab50351f2a30939abb28283bf52cc8edf5f5749f876:0,"中本创世聪
我韭醉如梦
孙割闻韭来
刀落无影踪
"
775377,2023-02-07 10:41:49 +08:00,5d6fda20448b29a5fde21f2138ddc7028277eb0040c73967d7bbd639d216bca8:0,音楽
775519,2023-02-08 11:13:17 +08:00,6e5c30ac33fa09870c0e40f182cf098e98183e76bd394c7cd531e738e5afdc97:0,"韭韭韭
韭🈹韭
韭韭韭
"
775520,2023-02-08 11:16:43 +08:00,24e4121c1db0814c56949dd8c21bc1f17d3f4a06cad1561b85ff7395a89ea817:0,"🈹🈹🈹
🈹孙🈹
🈹🈹🈹
"
775521,2023-02-08 11:25:53 +08:00,3887e3c2a7bbd1b2dfb51ec809c8ce14b3b1a04819efcc5caa9229cb052473ff:0,"韭韭韭
韭韭韭
韭韭韭
"
775608,2023-02-09 02:02:01 +08:00,fb19db1d28628b6cbe7270484004e932f43dba9324f1b76379495f63ba22ef65:0,"This Ordinal will be worth 100 Bitcoins when Bitcoin is back at 50k.

5:33 pm
Wednesday, 8 February 2023 UTC

The only one that will ever exist.

Sub 20k Inscription :)
       万岁！"
775742,2023-02-09 22:36:23 +08:00,a66583523a1053b0cfa1e7139119ab8561714928e052b02e48fb357ed5a9c920:0,"中华人民共和国国歌 (《义勇军进行曲》)

起来！
不愿做奴隶的人们！
把我们的血肉，
筑成我们新的长城！
中华民族到了
最危险的时候，
每个人被迫着
发出最后的吼声！
起来！
起来！
起来！
我们万众一心，
冒着敌人的炮火
前进，
冒着敌人的炮火
前进！
前进！
前进！进！
"
775760,2023-02-10 00:57:14 +08:00,e6c1dac14b1e2a08bcd2856035ea511d6bfa43018bc3568d15d16cc97ff45ea6:0,天下大勢分久必合，合久必分
776274,2023-02-13 09:44:56 +08:00,059b3a1e7fdb98e80eb411e64f2389a439e55a9d2944db1d2cd64d176512b0d4:0,"非二元性
Hi nigen-sei

NON-DUALITY: Chapter 001

Welcome to our journey.

As I write this, I hope my thoughts change the minds of others.

We are in new times, where all the old stuff is forgotten and everyone is so interested in the latest trends. But those of us - are likely found still
Tinkering with old technology, books, paper - the things of yesteryear.

That’s what sparked this decision. We now have the ability to document what life is - and allow it to be time stamped - and traded.

Our "
776454,2023-02-14 12:37:48 +08:00,f49627deb12b367dfef2231673e492c182641f5a1ef741d2e7691b43a5d6cd00:0,不会被烧毁的亚历山大图书馆，最高端的数字艺术展览馆。
776547,2023-02-15 03:45:48 +08:00,c73218c5b3e1f742d35181d5ead01c724e2e51eddd10a3ef88dab35ffdee958e:0,love 愛
776592,2023-02-15 11:31:49 +08:00,996c5950b50b791b3674659e8863dcbb8471ee504a26560a105d93371a41af81:0,"What is an Ordinals inscription？BTC NFT-什么是序列铭文
 NFT和BTC铭文之间的区别
 有用的序列链接和资源
 很棒的序言项目"
776653,2023-02-15 19:29:03 +08:00,60dfe289f7d53c0cfd804e690b5de56a6e1c7f0c9a0162819307f19cb6e1cee4:0,周杰倫
776653,2023-02-15 19:29:03 +08:00,cb894e1422f4e7c292f0925efb60463935ddedfb340fe6662fb2a5d35d7a1af6:0,"2、每成功铸造一枚""万聪NFT""，铸造者的BTC钱包地址将收到创始地址(BTC)发送的最新编号NFT。
     铸造者的以太坊钱包地址收到的""万聪NFT""，为以太链的万聪NFT。
3、鉴于Bitcoin ordinals NFT交易市场尚处早期。万聪NFT将到以太坊链上 https://opensea.io 网站进行交易。"
776667,2023-02-15 21:25:46 +08:00,a34ece828a3a05245f73d697d0e19d2911952e8af5722f95a5349ce186a30a87:0,"     ***万税
满朝文武绿卡隐
半壁江山养红颜
千里江山徒四壁
苛捐杂税满人间
"
776765,2023-02-16 12:13:17 +08:00,6dcf9af26d381e13ce55a814c105b408bb4677df8ece47f7ecceb1e06846f2b8:0,黃立成
776777,2023-02-16 13:44:43 +08:00,8b22caf22273e6382b8a9934654dc2e0b8069607e84ca4fc1dd27c1a2a1dc0e0:0,秦始皇
776830,2023-02-16 20:33:56 +08:00,00a6524f52ddeff92d5bd04ceacd9ca437d707918f5b8d8fe5c3529117faa238:0,零壹贰叁肆伍陆柒捌玖拾
776830,2023-02-16 20:33:56 +08:00,bea47f18555f81b9e3558f35d2b8cc1d660f98e0caf895a4b21cbf7fb000d28c:0,中华人民共和国
776838,2023-02-16 21:23:03 +08:00,49cc7511e2eace6341414edf1f2516a10e6487d83a8ba7c9233e78bab027e61c:0,"张永明
Yongming Zhang"
776872,2023-02-17 00:58:46 +08:00,5c49b5c72d1d13606a55e8def4456b1ab65c26163332066944ad6257a8226410:0,茅台
776876,2023-02-17 01:25:49 +08:00,8c5945d48561c623d35fb5dafb2a353521fadc30b58a2c9780d1953af5906c83:0,"MOUTAI
贵州茅台"
776921,2023-02-17 08:37:21 +08:00,63d7af2291792d6635b5dd95fcd4feb67149c9733e05f955cc24b4af48ff962d:0,"愿化大乘的一道光，
或为小乘的一粒泥；
愿做一群被牧放的羊，
或为一头流浪的驴；
愿生死为众，
或为迷失的自己。"
776937,2023-02-17 10:40:37 +08:00,91d60662b61a3cf4af6c1f867333dd67400c2955e7e2a5173e9b0be87f63b8c5:0,改善
776963,2023-02-17 15:35:27 +08:00,7b5643f34a7bc89e65cdc9983c05ffec3f88d2851ce8e169b818efa6ef60504b:0,贵州茅台
777023,2023-02-17 23:54:59 +08:00,73a7c14b9e040dcd9e167277e9aab1e8334a19cbefaf62f5dc52d96f62d5ed1a:0,中国
